Files already downloaded and verified
Files already downloaded and verified
num params: 472756
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  94, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.685, TAw acc=  0.0% |
| Epoch  95, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.633, TAw acc=  0.0% |
| Epoch  96, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.633, TAw acc=  0.0% |
| Epoch  97, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.727, TAw acc=  0.0% |
| Epoch  98, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.765, TAw acc=  0.0% |
| Epoch  99, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=0.676, TAw acc=  0.0% |
| Epoch 100, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=0.655, TAw acc=  0.0% |
| Epoch 101, time=  4.4s | Train: skip eval | Valid: time=  0.2s loss=0.809, TAw acc=  0.0% |
| Epoch 102, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.605, TAw acc=  0.0% |
| Epoch 103, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.680, TAw acc=  0.0% |
| Epoch 104, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.639, TAw acc=  0.0% |
| Epoch 105, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.638, TAw acc=  0.0% |
| Epoch 106, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.688, TAw acc=  0.0% |
| Epoch 107, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.739, TAw acc=  0.0% |
| Epoch 108, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.667, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.598 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 84.1%, forg=  0.0% <<<
Save at ./results/20241114_der_cl/cifar100/cifar100_icarl_der_base_csl_1
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.701, TAw acc=  0.0% | *
| Epoch   2, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.011, TAw acc=  0.0% | *
| Epoch   3, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.809, TAw acc=  0.0% | *
| Epoch   4, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.694, TAw acc=  0.0% | *
| Epoch   5, time=  4.9s | Train: skip eval | Valid: time=  0.2s loss=1.520, TAw acc=  0.0% | *
| Epoch   6, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.575, TAw acc=  0.0% |
| Epoch   7, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.644, TAw acc=  0.0% |
| Epoch   8, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.597, TAw acc=  0.0% |
| Epoch   9, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.696, TAw acc=  0.0% |
