Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
Taskcla:  [(0, 3), (1, 3), (2, 3), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 33 | Train: time= 10.9s | Valid: time=  4.5s loss=0.002, TAw acc= 99.9% |
 Epoch: 34 | Train: time= 11.1s | Valid: time=  4.5s loss=0.001, TAw acc=100.0% | *
 Epoch: 35 | Train: time= 11.1s | Valid: time=  4.5s loss=0.002, TAw acc=100.0% |
 Epoch: 36 | Train: time= 11.1s | Valid: time=  4.5s loss=0.001, TAw acc=100.0% |
 Epoch: 37 | Train: time= 11.4s | Valid: time=  4.4s loss=0.002, TAw acc=100.0% |
 Epoch: 38 | Train: time= 11.4s | Valid: time=  4.5s loss=0.003, TAw acc=100.0% |
 Epoch: 39 | Train: time= 11.2s | Valid: time=  4.4s loss=0.002, TAw acc= 99.9% |
 Epoch: 40 | Train: time= 11.1s | Valid: time=  4.4s loss=0.003, TAw acc= 99.9% |
 Epoch: 41 | Train: time= 11.1s | Valid: time=  4.7s loss=0.006, TAw acc= 99.8% |
 Epoch: 42 | Train: time= 11.1s | Valid: time=  4.4s loss=0.001, TAw acc=100.0% | *
 Epoch: 43 | Train: time= 11.0s | Valid: time=  4.4s loss=0.002, TAw acc=100.0% |
 Epoch: 44 | Train: time= 11.0s | Valid: time=  4.5s loss=0.002, TAw acc=100.0% |
 Epoch: 45 | Train: time= 11.2s | Valid: time=  4.4s loss=0.008, TAw acc= 99.6% |
 Epoch: 46 | Train: time= 11.4s | Valid: time=  4.5s loss=0.001, TAw acc=100.0% |
 Epoch: 47 | Train: time= 11.3s | Valid: time=  4.4s loss=0.003, TAw acc= 99.9% |
 Epoch: 48 | Train: time= 11.4s | Valid: time=  4.5s loss=0.003, TAw acc= 99.9% |
 Epoch: 49 | Train: time= 11.4s | Valid: time=  4.5s loss=0.002, TAw acc=100.0% |
 Epoch: 50 | Train: time= 11.3s | Valid: time=  4.5s loss=0.001, TAw acc=100.0% |
 Epoch: 51 | Train: time= 11.2s | Valid: time=  4.5s loss=0.004, TAw acc= 99.9% |
 Epoch: 52 | Train: time= 11.6s | Valid: time=  4.4s loss=0.003, TAw acc= 99.9% |
 Epoch: 53 | Train: time= 11.1s | Valid: time=  4.5s loss=0.001, TAw acc=100.0% | *
 Epoch: 54 | Train: time= 11.3s | Valid: time=  4.5s loss=0.016, TAw acc= 99.5% |
 Epoch: 55 | Train: time= 11.2s | Valid: time=  4.6s loss=0.002, TAw acc=100.0% |
 Epoch: 56 | Train: time= 11.1s | Valid: time=  4.5s loss=0.002, TAw acc= 99.9% |
 Epoch: 57 | Train: time= 10.9s | Valid: time=  4.4s loss=0.009, TAw acc= 99.7% |
 Epoch: 58 | Train: time= 11.6s | Valid: time=  4.6s loss=0.002, TAw acc= 99.9% |
 Epoch: 59 | Train: time= 11.1s | Valid: time=  4.4s loss=0.005, TAw acc= 99.8% |
 Epoch: 60 | Train: time= 11.3s | Valid: time=  4.3s loss=0.002, TAw acc=100.0% |
 Epoch: 61 | Train: time= 11.6s | Valid: time=  4.5s loss=0.001, TAw acc=100.0% |
 Epoch: 62 | Train: time= 11.4s | Valid: time=  4.6s loss=0.004, TAw acc= 99.8% |
 Epoch: 63 | Train: time= 11.4s | Valid: time=  4.3s loss=0.001, TAw acc= 99.9% |
 Epoch: 64 | Train: time= 11.3s | Valid: time=  4.6s loss=0.001, TAw acc= 99.9% |
 Epoch: 65 | Train: time= 11.1s | Valid: time=  4.3s loss=0.002, TAw acc=100.0% |
 Epoch: 66 | Train: time= 10.7s | Valid: time=  4.3s loss=0.004, TAw acc= 99.9% |
 Epoch: 67 | Train: time= 11.1s | Valid: time=  4.4s loss=0.002, TAw acc= 99.9% |
 Epoch: 68 | Train: time= 11.8s | Valid: time=  4.4s loss=0.002, TAw acc=100.0% |
num_cls : 9
num_exemplars:  600
original_exemplars_per_class:  67
--------------------------------------------------
--------------------------------------------------
| Selected 201 train exemplars, time= 31.8s
| Constructed 402 exemplars
Final memory length:  201
self.logits length and one shape:  201 (9,)
Previous classes:  [0 1 2 3 4 5 6 7 8]
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=14.148 | TAw acc= 58.8%, forg= 36.9%| TAg acc=:  0.0%, forg= 95.8% <<<
>>> Test on task  1 : loss=8.525 | TAw acc= 54.5%, forg= 38.0%| TAg acc=:  0.1%, forg= 92.3% <<<
>>> Test on task  2 : loss=0.028 | TAw acc= 99.2%, forg=  0.0%| TAg acc=: 99.2%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/organa/organamnist_der_split_dp_fixd_csl_1
************************************************************************************************************
Task  3
************************************************************************************************************
 Epoch: 1 | Train: time=  8.3s | Valid: time=  4.0s loss=1.072, TAw acc= 92.1% | *
 Epoch: 2 | Train: time=  8.1s | Valid: time=  3.9s loss=1.389, TAw acc= 83.8% |
 Epoch: 3 | Train: time=  7.9s | Valid: time=  3.8s loss=0.329, TAw acc= 95.5% | *
 Epoch: 4 | Train: time=  8.1s | Valid: time=  4.0s loss=0.481, TAw acc= 90.8% |
 Epoch: 5 | Train: time=  8.3s | Valid: time=  4.1s loss=0.304, TAw acc= 93.8% | *
 Epoch: 6 | Train: time=  8.1s | Valid: time=  4.0s loss=0.143, TAw acc= 96.8% | *
 Epoch: 7 | Train: time=  8.3s | Valid: time=  4.1s loss=0.146, TAw acc= 96.7% |
 Epoch: 8 | Train: time=  8.3s | Valid: time=  4.2s loss=0.093, TAw acc= 97.9% | *
 Epoch: 9 | Train: time=  8.3s | Valid: time=  4.0s loss=0.085, TAw acc= 97.7% | *
 Epoch: 10 | Train: time=  8.1s | Valid: time=  4.0s loss=0.089, TAw acc= 98.0% |
 Epoch: 11 | Train: time=  8.4s | Valid: time=  4.0s loss=0.137, TAw acc= 96.4% |
 Epoch: 12 | Train: time=  8.2s | Valid: time=  4.0s loss=0.176, TAw acc= 94.2% |
 Epoch: 13 | Train: time=  8.5s | Valid: time=  4.1s loss=0.050, TAw acc= 98.3% | *
 Epoch: 14 | Train: time=  8.4s | Valid: time=  4.1s loss=0.083, TAw acc= 97.1% |
 Epoch: 15 | Train: time=  8.2s | Valid: time=  4.0s loss=0.046, TAw acc= 98.2% | *
 Epoch: 16 | Train: time=  8.1s | Valid: time=  4.0s loss=0.071, TAw acc= 98.0% |
