Taskcla:  [(0, 3), (1, 2), (2, 2)]
Number of clients each task:  [10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 45 | Train: time= 45.6s | Valid: time= 10.0s loss=0.002, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 44.6s | Valid: time=  9.7s loss=0.001, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 45.4s | Valid: time= 10.2s loss=0.001, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 44.3s | Valid: time=  9.9s loss=0.002, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 46.2s | Valid: time=  9.6s loss=0.002, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 44.7s | Valid: time=  9.6s loss=0.001, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=15.476 | TAw acc=  0.0%, forg=  0.0%| TAg acc=:  0.0%, forg= 84.9% <<<
>>> Test on task  1 : loss=14.799 | TAw acc=  0.0%, forg=  0.0%| TAg acc=:  0.0%, forg= 81.2% <<<
>>> Test on task  2 : loss=0.588 | TAw acc=  0.0%, forg=  0.0%| TAg acc=: 80.0%, forg=  0.0% <<<
Save at ./results/20241119_der_csl/ham10000/ham10000_der_split_dp_noexem_grow_csl_3
************************************************************************************************************
TAw Acc
	 0.00%  0.00%  0.00% 
	 0.00%  0.00%  0.00% 	Avg.: 0.00% 
	 0.00%  0.00%  0.00% 	Avg.: 0.00% 
TAw Acc result
 0.00	 0.00	
************************************************************************************************************
TAg Acc
	84.94%  0.00%  0.00% 	Avg.:84.94% 
	 0.00% 81.15%  0.00% 	Avg.:40.58% 
	 0.00%  0.00% 80.00% 	Avg.:26.67% 
TAg Acc result
84.94	40.58	26.67	
************************************************************************************************************
TAw Forg
	 0.00%  0.00%  0.00% 
	 0.00%  0.00%  0.00% 	Avg.: 0.00% 
	 0.00%  0.00%  0.00% 	Avg.: 0.00% 
TAw Forg result
 0.00	 0.00	
************************************************************************************************************
TAg Forg
	 0.00%  0.00%  0.00% 
	84.94%  0.00%  0.00% 	Avg.:84.94% 
	84.94% 81.15%  0.00% 	Avg.:83.05% 
TAg Forg result
84.94	83.05	
************************************************************************************************************
[Elapsed time = 2.8 h]
Done!
