Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  69, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.558, TAw acc=  0.0% | lr: 0.0300
| Epoch  70, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.479, TAw acc=  0.0% | lr: 0.0030
| Epoch  71, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.465, TAw acc=  0.0% | lr: 0.0030
| Epoch  72, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.436, TAw acc=  0.0% | lr: 0.0030
| Epoch  73, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.467, TAw acc=  0.0% | lr: 0.0030
| Epoch  74, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.457, TAw acc=  0.0% | lr: 0.0030
| Epoch  75, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.466, TAw acc=  0.0% | lr: 0.0030
| Epoch  76, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.469, TAw acc=  0.0% | lr: 0.0030
| Epoch  77, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.445, TAw acc=  0.0% | lr: 0.0030
| Epoch  78, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.457, TAw acc=  0.0% | lr: 0.0030
| Epoch  79, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.460, TAw acc=  0.0% | lr: 0.0030
| Epoch  80, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.442, TAw acc=  0.0% | lr: 0.0030
| Epoch  81, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.457, TAw acc=  0.0% | lr: 0.0030
| Epoch  82, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.455, TAw acc=  0.0% | lr: 0.0030
| Epoch  83, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.441, TAw acc=  0.0% | lr: 0.0030
| Epoch  84, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.450, TAw acc=  0.0% | lr: 0.0030
| Epoch  85, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.464, TAw acc=  0.0% | lr: 0.0030
| Epoch  86, time=  7.8s | Train: skip eval | Valid: time=  0.2s loss=0.491, TAw acc=  0.0% | lr: 0.0030
| Epoch  87, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.462, TAw acc=  0.0% | lr: 0.0030
| Epoch  88, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.443, TAw acc=  0.0% | lr: 0.0030
| Epoch  89, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.458, TAw acc=  0.0% | lr: 0.0030
| Epoch  90, time=  7.9s | Train: skip eval | Valid: time=  0.2s loss=0.449, TAw acc=  0.0% | lr: 0.0003
| Epoch  91, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=0.431, TAw acc=  0.0% | lr: 0.0003
