Files already downloaded and verified
Files already downloaded and verified
Taskcla:  [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
Number of clients each task:  [10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 102 | Train: time=  7.2s | Valid: time=  3.8s loss=0.658, TAw acc= 81.2% |
 Epoch: 103 | Train: time=  7.0s | Valid: time=  4.3s loss=0.736, TAw acc= 77.6% |
 Epoch: 104 | Train: time=  6.8s | Valid: time=  3.9s loss=0.721, TAw acc= 80.2% |
 Epoch: 105 | Train: time=  6.7s | Valid: time=  4.3s loss=0.897, TAw acc= 78.2% |
 Epoch: 106 | Train: time=  7.1s | Valid: time=  3.8s loss=0.940, TAw acc= 76.8% |
 Epoch: 107 | Train: time=  7.1s | Valid: time=  4.3s loss=1.008, TAw acc= 78.2% |
 Epoch: 108 | Train: time=  7.0s | Valid: time=  4.2s loss=0.851, TAw acc= 79.0% |
 Epoch: 109 | Train: time=  7.1s | Valid: time=  4.3s loss=0.703, TAw acc= 79.8% |
 Epoch: 110 | Train: time=  7.2s | Valid: time=  4.3s loss=0.821, TAw acc= 79.8% |
 Epoch: 111 | Train: time=  7.0s | Valid: time=  4.3s loss=0.827, TAw acc= 78.0% |
 Epoch: 112 | Train: time=  7.0s | Valid: time=  4.3s loss=0.760, TAw acc= 80.8% |
 Epoch: 113 | Train: time=  6.8s | Valid: time=  4.3s loss=1.038, TAw acc= 74.0% |
 Epoch: 114 | Train: time=  6.7s | Valid: time=  4.2s loss=0.882, TAw acc= 78.2% |
 Epoch: 115 | Train: time=  6.7s | Valid: time=  4.2s loss=1.031, TAw acc= 76.0% |
 Epoch: 116 | Train: time=  7.0s | Valid: time=  4.4s loss=0.767, TAw acc= 80.6% |
 Epoch: 117 | Train: time=  6.9s | Valid: time=  4.3s loss=0.971, TAw acc= 78.0% |
 Epoch: 118 | Train: time=  6.9s | Valid: time=  3.9s loss=0.751, TAw acc= 80.2% |
 Epoch: 119 | Train: time=  6.6s | Valid: time=  4.3s loss=0.830, TAw acc= 79.6% |
 Epoch: 120 | Train: time=  7.1s | Valid: time=  4.1s loss=0.648, TAw acc= 82.0% | *
 Epoch: 121 | Train: time=  7.3s | Valid: time=  4.2s loss=0.619, TAw acc= 82.6% | *
 Epoch: 122 | Train: time=  7.1s | Valid: time=  4.2s loss=0.906, TAw acc= 78.0% |
 Epoch: 123 | Train: time=  6.9s | Valid: time=  4.2s loss=0.722, TAw acc= 83.2% |
 Epoch: 124 | Train: time=  7.2s | Valid: time=  4.2s loss=0.691, TAw acc= 81.6% |
 Epoch: 125 | Train: time=  7.0s | Valid: time=  4.3s loss=0.910, TAw acc= 77.2% |
 Epoch: 126 | Train: time=  6.9s | Valid: time=  4.3s loss=0.704, TAw acc= 82.4% |
 Epoch: 127 | Train: time=  6.7s | Valid: time=  4.1s loss=0.764, TAw acc= 77.8% |
 Epoch: 128 | Train: time=  7.1s | Valid: time=  4.2s loss=0.736, TAw acc= 81.2% |
 Epoch: 129 | Train: time=  7.0s | Valid: time=  4.3s loss=0.902, TAw acc= 79.2% |
 Epoch: 130 | Train: time=  7.1s | Valid: time=  4.4s loss=0.751, TAw acc= 81.8% |
 Epoch: 131 | Train: time=  6.8s | Valid: time=  4.0s loss=0.759, TAw acc= 80.2% |
 Epoch: 132 | Train: time=  7.0s | Valid: time=  4.2s loss=0.743, TAw acc= 81.6% |
 Epoch: 133 | Train: time=  7.0s | Valid: time=  4.2s loss=0.708, TAw acc= 82.2% |
 Epoch: 134 | Train: time=  7.1s | Valid: time=  4.2s loss=0.792, TAw acc= 80.8% |
 Epoch: 135 | Train: time=  7.1s | Valid: time=  4.1s loss=0.747, TAw acc= 81.8% |
 Epoch: 136 | Train: time=  6.8s | Valid: time=  4.3s loss=0.723, TAw acc= 81.2% |
 Epoch: 137 | Train: time=  7.1s | Valid: time=  4.3s loss=0.941, TAw acc= 77.8% |
 Epoch: 138 | Train: time=  6.8s | Valid: time=  4.2s loss=0.712, TAw acc= 82.8% |
 Epoch: 139 | Train: time=  7.1s | Valid: time=  4.3s loss=0.927, TAw acc= 78.4% |
 Epoch: 140 | Train: time=  7.0s | Valid: time=  4.3s loss=0.668, TAw acc= 82.0% |
 Epoch: 141 | Train: time=  7.1s | Valid: time=  4.3s loss=0.746, TAw acc= 80.4% |
--------------------------------------------------
--------------------------------------------------
| Selected 600 train exemplars, time= 14.6s
| Constructed 600 exemplars
Final memory length:  200
self.logits length and one shape:  200 (10,)
Previous classes:  [0 1 2 3 4 5 6 7 8 9]
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.545 | TAw acc= 85.0%, forg=  0.0%| TAg acc=: 85.0%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/cifar100/cifar100_icarl_der_split_dp_grow_csl_1
************************************************************************************************************
Task  1
************************************************************************************************************
 Epoch: 1 | Train: time=  7.9s | Valid: time=  4.4s loss=1.884, TAw acc= 35.4% | *
