Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   5, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.418, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.779, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.551, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.403, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.453, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.466, TAw acc=  0.0% | lr: 0.0300
| Epoch  11, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=2.051, TAw acc=  0.0% | lr: 0.0300
| Epoch  12, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=1.328, TAw acc=  0.0% | lr: 0.0300
| Epoch  13, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.524, TAw acc=  0.0% | lr: 0.0300
| Epoch  14, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.704, TAw acc=  0.0% | lr: 0.0300
| Epoch  15, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.441, TAw acc=  0.0% | lr: 0.0300
| Epoch  16, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.825, TAw acc=  0.0% | lr: 0.0300
| Epoch  17, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.989, TAw acc=  0.0% | lr: 0.0300
| Epoch  18, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.745, TAw acc=  0.0% | lr: 0.0300
| Epoch  19, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.382, TAw acc=  0.0% | lr: 0.0300
| Epoch  20, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.462, TAw acc=  0.0% | lr: 0.0300
| Epoch  21, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.870, TAw acc=  0.0% | lr: 0.0300
| Epoch  22, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.515, TAw acc=  0.0% | lr: 0.0300
| Epoch  23, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.607, TAw acc=  0.0% | lr: 0.0300
| Epoch  24, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.501, TAw acc=  0.0% | lr: 0.0300
| Epoch  25, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.435, TAw acc=  0.0% | lr: 0.0300
| Epoch  26, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.517, TAw acc=  0.0% | lr: 0.0300
| Epoch  27, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=1.608, TAw acc=  0.0% | lr: 0.0300
| Epoch  28, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.401, TAw acc=  0.0% | lr: 0.0300
| Epoch  29, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.467, TAw acc=  0.0% | lr: 0.0300
| Epoch  30, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.403, TAw acc=  0.0% | lr: 0.0300
| Epoch  31, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.445, TAw acc=  0.0% | lr: 0.0300
| Epoch  32, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.600, TAw acc=  0.0% | lr: 0.0300
| Epoch  33, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=1.235, TAw acc=  0.0% | lr: 0.0300
| Epoch  34, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.437, TAw acc=  0.0% | lr: 0.0300
| Epoch  35, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.458, TAw acc=  0.0% | lr: 0.0300
| Epoch  36, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.416, TAw acc=  0.0% | lr: 0.0300
| Epoch  37, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.207, TAw acc=  0.0% | lr: 0.0300
| Epoch  38, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.178, TAw acc=  0.0% | lr: 0.0300
| Epoch  39, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.202, TAw acc=  0.0% | lr: 0.0300
| Epoch  40, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.199, TAw acc=  0.0% | lr: 0.0300
| Epoch  41, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.295, TAw acc=  0.0% | lr: 0.0300
| Epoch  42, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.174, TAw acc=  0.0% | lr: 0.0300
| Epoch  43, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.225, TAw acc=  0.0% | lr: 0.0300
| Epoch  44, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.161, TAw acc=  0.0% | lr: 0.0300
| Epoch  45, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.269, TAw acc=  0.0% | lr: 0.0300
| Epoch  46, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.163, TAw acc=  0.0% | lr: 0.0300
| Epoch  47, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.134, TAw acc=  0.0% | lr: 0.0300
| Epoch  48, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.421, TAw acc=  0.0% | lr: 0.0300
| Epoch  49, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.392, TAw acc=  0.0% | lr: 0.0300
| Epoch  50, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.155, TAw acc=  0.0% | lr: 0.0300
| Epoch  51, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.227, TAw acc=  0.0% | lr: 0.0300
| Epoch  52, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.743, TAw acc=  0.0% | lr: 0.0300
| Epoch  53, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.127, TAw acc=  0.0% | lr: 0.0300
| Epoch  54, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.289, TAw acc=  0.0% | lr: 0.0300
| Epoch  55, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.114, TAw acc=  0.0% | lr: 0.0300
| Epoch  56, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.063, TAw acc=  0.0% | lr: 0.0300
| Epoch  57, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.365, TAw acc=  0.0% | lr: 0.0300
| Epoch  58, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.207, TAw acc=  0.0% | lr: 0.0300
| Epoch  59, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.250, TAw acc=  0.0% | lr: 0.0300
| Epoch  60, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.075, TAw acc=  0.0% | lr: 0.0300
| Epoch  61, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.154, TAw acc=  0.0% | lr: 0.0300
| Epoch  62, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.112, TAw acc=  0.0% | lr: 0.0300
| Epoch  63, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.244, TAw acc=  0.0% | lr: 0.0300
| Epoch  64, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.099, TAw acc=  0.0% | lr: 0.0300
| Epoch  65, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.095, TAw acc=  0.0% | lr: 0.0300
| Epoch  66, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.292, TAw acc=  0.0% | lr: 0.0300
| Epoch  67, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.170, TAw acc=  0.0% | lr: 0.0300
| Epoch  68, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.294, TAw acc=  0.0% | lr: 0.0300
| Epoch  69, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.029, TAw acc=  0.0% | lr: 0.0300
| Epoch  70, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.975, TAw acc=  0.0% | lr: 0.0030
| Epoch  71, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.986, TAw acc=  0.0% | lr: 0.0030
| Epoch  72, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.985, TAw acc=  0.0% | lr: 0.0030
| Epoch  73, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.993, TAw acc=  0.0% | lr: 0.0030
| Epoch  74, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.010, TAw acc=  0.0% | lr: 0.0030
| Epoch  75, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.953, TAw acc=  0.0% | lr: 0.0030
| Epoch  76, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.973, TAw acc=  0.0% | lr: 0.0030
| Epoch  77, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.979, TAw acc=  0.0% | lr: 0.0030
| Epoch  78, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.979, TAw acc=  0.0% | lr: 0.0030
| Epoch  79, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=0.937, TAw acc=  0.0% | lr: 0.0030
| Epoch  80, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.972, TAw acc=  0.0% | lr: 0.0030
| Epoch  81, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=0.967, TAw acc=  0.0% | lr: 0.0030
| Epoch  82, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=0.942, TAw acc=  0.0% | lr: 0.0030
| Epoch  83, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.979, TAw acc=  0.0% | lr: 0.0030
| Epoch  84, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.994, TAw acc=  0.0% | lr: 0.0030
| Epoch  85, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.980, TAw acc=  0.0% | lr: 0.0030
| Epoch  86, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.975, TAw acc=  0.0% | lr: 0.0030
| Epoch  87, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.966, TAw acc=  0.0% | lr: 0.0030
| Epoch  88, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=1.005, TAw acc=  0.0% | lr: 0.0030
| Epoch  89, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=1.055, TAw acc=  0.0% | lr: 0.0030
| Epoch  90, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.985, TAw acc=  0.0% | lr: 0.0003
| Epoch  91, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.995, TAw acc=  0.0% | lr: 0.0003
| Epoch  92, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.984, TAw acc=  0.0% | lr: 0.0003
| Epoch  93, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.957, TAw acc=  0.0% | lr: 0.0003
| Epoch  94, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=0.979, TAw acc=  0.0% | lr: 0.0003
| Epoch  95, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.998, TAw acc=  0.0% | lr: 0.0003
| Epoch  96, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.999, TAw acc=  0.0% | lr: 0.0003
| Epoch  97, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.971, TAw acc=  0.0% | lr: 0.0003
| Epoch  98, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=0.986, TAw acc=  0.0% | lr: 0.0003
| Epoch  99, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.003, TAw acc=  0.0% | lr: 0.0003
| Epoch 100, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=0.958, TAw acc=  0.0% | lr: 0.0003
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.597 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 66.3%, forg= 21.2% <<<
>>> Test on task  1 : loss=1.017 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 76.5%, forg=  0.0% <<<
Save at ./results/20241102_der/cifar100_reproducing_epoch100/cifar100_icarl_der_base_csl_4
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.230, TAw acc=  0.0% | lr: 0.0300
| Epoch   2, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.916, TAw acc=  0.0% | lr: 0.0300
| Epoch   3, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.860, TAw acc=  0.0% | lr: 0.0300
| Epoch   4, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.069, TAw acc=  0.0% | lr: 0.0300
| Epoch   5, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.193, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.896, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.978, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.917, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=1.240, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time=  9.8s | Train: skip eval | Valid: time=  0.3s loss=1.103, TAw acc=  0.0% | lr: 0.0300
