Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
num params: 465968
[(0, 3), (1, 3), (2, 3), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  42, time= 40.4s | Train: skip eval | Valid: time=  0.6s loss=0.090, TAw acc= 96.4% | *
| Epoch  43, time= 39.7s | Train: skip eval | Valid: time=  0.6s loss=0.130, TAw acc= 95.6% |
| Epoch  44, time= 40.0s | Train: skip eval | Valid: time=  0.6s loss=0.117, TAw acc= 95.7% |
| Epoch  45, time= 40.0s | Train: skip eval | Valid: time=  0.6s loss=0.097, TAw acc= 96.4% |
| Epoch  46, time= 40.3s | Train: skip eval | Valid: time=  0.6s loss=0.100, TAw acc= 96.3% |
| Epoch  47, time= 39.3s | Train: skip eval | Valid: time=  0.6s loss=0.104, TAw acc= 95.8% |
| Epoch  48, time= 40.2s | Train: skip eval | Valid: time=  0.6s loss=0.097, TAw acc= 96.2% |
| Epoch  49, time= 39.9s | Train: skip eval | Valid: time=  0.7s loss=0.115, TAw acc= 95.6% |
| Epoch  50, time= 40.7s | Train: skip eval | Valid: time=  0.6s loss=0.115, TAw acc= 95.6% |
| Epoch  51, time= 39.8s | Train: skip eval | Valid: time=  0.6s loss=0.080, TAw acc= 96.9% | *
| Epoch  52, time= 41.5s | Train: skip eval | Valid: time=  0.6s loss=0.077, TAw acc= 97.0% | *
| Epoch  53, time= 39.4s | Train: skip eval | Valid: time=  0.6s loss=0.135, TAw acc= 94.9% |
| Epoch  54, time= 39.7s | Train: skip eval | Valid: time=  0.6s loss=0.087, TAw acc= 96.3% |
| Epoch  55, time= 43.1s | Train: skip eval | Valid: time=  0.6s loss=0.123, TAw acc= 95.2% |
| Epoch  56, time= 41.5s | Train: skip eval | Valid: time=  0.6s loss=0.119, TAw acc= 95.7% |
| Epoch  57, time= 39.3s | Train: skip eval | Valid: time=  0.6s loss=0.090, TAw acc= 96.1% |
| Epoch  58, time= 40.5s | Train: skip eval | Valid: time=  0.6s loss=0.093, TAw acc= 97.0% |
| Epoch  59, time= 40.6s | Train: skip eval | Valid: time=  0.6s loss=0.108, TAw acc= 96.4% |
| Epoch  60, time= 39.5s | Train: skip eval | Valid: time=  0.6s loss=0.134, TAw acc= 94.6% |
| Epoch  61, time= 42.0s | Train: skip eval | Valid: time=  0.6s loss=0.134, TAw acc= 94.7% |
| Epoch  62, time= 40.7s | Train: skip eval | Valid: time=  0.6s loss=0.107, TAw acc= 96.0% |
| Epoch  63, time= 39.7s | Train: skip eval | Valid: time=  0.6s loss=0.156, TAw acc= 94.8% |
| Epoch  64, time= 40.2s | Train: skip eval | Valid: time=  0.6s loss=0.065, TAw acc= 97.2% | *
| Epoch  65, time= 40.1s | Train: skip eval | Valid: time=  0.6s loss=0.298, TAw acc= 90.7% |
| Epoch  66, time= 39.5s | Train: skip eval | Valid: time=  0.6s loss=0.117, TAw acc= 96.0% |
| Epoch  67, time= 39.8s | Train: skip eval | Valid: time=  0.6s loss=0.104, TAw acc= 96.0% |
| Epoch  68, time= 43.5s | Train: skip eval | Valid: time=  0.7s loss=0.086, TAw acc= 97.1% |
