Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 16.5s | Train: skip eval | Valid: time=  0.3s loss=1.601, TAw acc=  0.0% | lr: 0.0300
| Epoch  99, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.465, TAw acc=  0.0% | lr: 0.0300
| Epoch 100, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.455, TAw acc=  0.0% | lr: 0.0300
| Epoch 101, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0300
| Epoch 102, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.483, TAw acc=  0.0% | lr: 0.0300
| Epoch 103, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.503, TAw acc=  0.0% | lr: 0.0300
| Epoch 104, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=0.538, TAw acc=  0.0% | lr: 0.0300
| Epoch 105, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.485, TAw acc=  0.0% | lr: 0.0300
| Epoch 106, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.491, TAw acc=  0.0% | lr: 0.0300
| Epoch 107, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.531, TAw acc=  0.0% | lr: 0.0300
| Epoch 108, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0300
| Epoch 109, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.457, TAw acc=  0.0% | lr: 0.0300
| Epoch 110, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0300
| Epoch 111, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.433, TAw acc=  0.0% | lr: 0.0300
| Epoch 112, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.457, TAw acc=  0.0% | lr: 0.0300
| Epoch 113, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.472, TAw acc=  0.0% | lr: 0.0300
| Epoch 114, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.473, TAw acc=  0.0% | lr: 0.0300
| Epoch 115, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.486, TAw acc=  0.0% | lr: 0.0300
| Epoch 116, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.454, TAw acc=  0.0% | lr: 0.0300
| Epoch 117, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.451, TAw acc=  0.0% | lr: 0.0300
| Epoch 118, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0300
| Epoch 119, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.455, TAw acc=  0.0% | lr: 0.0300
| Epoch 120, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.478, TAw acc=  0.0% | lr: 0.0300
| Epoch 121, time= 10.9s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0300
| Epoch 122, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.477, TAw acc=  0.0% | lr: 0.0300
| Epoch 123, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.477, TAw acc=  0.0% | lr: 0.0300
| Epoch 124, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.467, TAw acc=  0.0% | lr: 0.0300
| Epoch 125, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.456, TAw acc=  0.0% | lr: 0.0300
| Epoch 126, time=  9.8s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0300
| Epoch 127, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.445, TAw acc=  0.0% | lr: 0.0300
| Epoch 128, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.481, TAw acc=  0.0% | lr: 0.0300
| Epoch 129, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.464, TAw acc=  0.0% | lr: 0.0300
| Epoch 130, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.468, TAw acc=  0.0% | lr: 0.0300
| Epoch 131, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.454, TAw acc=  0.0% | lr: 0.0300
| Epoch 132, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.453, TAw acc=  0.0% | lr: 0.0300
| Epoch 133, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0300
| Epoch 134, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.455, TAw acc=  0.0% | lr: 0.0300
| Epoch 135, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0300
| Epoch 136, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.501, TAw acc=  0.0% | lr: 0.0300
| Epoch 137, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.485, TAw acc=  0.0% | lr: 0.0300
| Epoch 138, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.454, TAw acc=  0.0% | lr: 0.0300
| Epoch 139, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.484, TAw acc=  0.0% | lr: 0.0300
| Epoch 140, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.467, TAw acc=  0.0% | lr: 0.0030
| Epoch 141, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.473, TAw acc=  0.0% | lr: 0.0030
| Epoch 142, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.466, TAw acc=  0.0% | lr: 0.0030
| Epoch 143, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.472, TAw acc=  0.0% | lr: 0.0030
| Epoch 144, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0030
| Epoch 145, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.467, TAw acc=  0.0% | lr: 0.0030
| Epoch 146, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.457, TAw acc=  0.0% | lr: 0.0030
| Epoch 147, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.455, TAw acc=  0.0% | lr: 0.0030
| Epoch 148, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0030
| Epoch 149, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0030
| Epoch 150, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.471, TAw acc=  0.0% | lr: 0.0030
| Epoch 151, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.461, TAw acc=  0.0% | lr: 0.0030
| Epoch 152, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.462, TAw acc=  0.0% | lr: 0.0030
| Epoch 153, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.463, TAw acc=  0.0% | lr: 0.0030
| Epoch 154, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0030
| Epoch 155, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.456, TAw acc=  0.0% | lr: 0.0030
| Epoch 156, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.473, TAw acc=  0.0% | lr: 0.0030
| Epoch 157, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.470, TAw acc=  0.0% | lr: 0.0030
| Epoch 158, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0030
| Epoch 159, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.469, TAw acc=  0.0% | lr: 0.0030
| Epoch 160, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.468, TAw acc=  0.0% | lr: 0.0030
| Epoch 161, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.468, TAw acc=  0.0% | lr: 0.0030
| Epoch 162, time=  9.9s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0030
| Epoch 163, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0030
| Epoch 164, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.461, TAw acc=  0.0% | lr: 0.0030
| Epoch 165, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0030
| Epoch 166, time= 10.0s | Train: skip eval | Valid: time=  0.2s loss=0.461, TAw acc=  0.0% | lr: 0.0030
| Epoch 167, time=  9.8s | Train: skip eval | Valid: time=  0.3s loss=0.455, TAw acc=  0.0% | lr: 0.0030
| Epoch 168, time= 10.1s | Train: skip eval | Valid: time=  0.3s loss=0.465, TAw acc=  0.0% | lr: 0.0030
| Epoch 169, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.462, TAw acc=  0.0% | lr: 0.0030
| Epoch 170, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.465, TAw acc=  0.0% | lr: 0.0030
| Epoch 171, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.461, TAw acc=  0.0% | lr: 0.0030
| Epoch 172, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.476, TAw acc=  0.0% | lr: 0.0030
| Epoch 173, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.455, TAw acc=  0.0% | lr: 0.0030
| Epoch 174, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0030
| Epoch 175, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0030
| Epoch 176, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0030
| Epoch 177, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.471, TAw acc=  0.0% | lr: 0.0030
| Epoch 178, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0030
| Epoch 179, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.461, TAw acc=  0.0% | lr: 0.0030
| Epoch 180, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.462, TAw acc=  0.0% | lr: 0.0003
| Epoch 181, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0003
| Epoch 182, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.454, TAw acc=  0.0% | lr: 0.0003
| Epoch 183, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.463, TAw acc=  0.0% | lr: 0.0003
| Epoch 184, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.462, TAw acc=  0.0% | lr: 0.0003
| Epoch 185, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.464, TAw acc=  0.0% | lr: 0.0003
| Epoch 186, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.458, TAw acc=  0.0% | lr: 0.0003
| Epoch 187, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.461, TAw acc=  0.0% | lr: 0.0003
| Epoch 188, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0003
| Epoch 189, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.472, TAw acc=  0.0% | lr: 0.0003
| Epoch 190, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.476, TAw acc=  0.0% | lr: 0.0003
| Epoch 191, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.459, TAw acc=  0.0% | lr: 0.0003
| Epoch 192, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.482, TAw acc=  0.0% | lr: 0.0003
| Epoch 193, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=0.472, TAw acc=  0.0% | lr: 0.0003
| Epoch 194, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.464, TAw acc=  0.0% | lr: 0.0003
| Epoch 195, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=0.460, TAw acc=  0.0% | lr: 0.0003
| Epoch 196, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.454, TAw acc=  0.0% | lr: 0.0003
| Epoch 197, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=0.452, TAw acc=  0.0% | lr: 0.0003
| Epoch 198, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=0.473, TAw acc=  0.0% | lr: 0.0003
| Epoch 199, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.465, TAw acc=  0.0% | lr: 0.0003
| Epoch 200, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=0.455, TAw acc=  0.0% | lr: 0.0003
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.428 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 87.0%, forg=  0.0% <<<
Save at ./results/20241102_der/cifar100_reproducing_epoch200/cifar100_icarl_der_base_csl_1
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.797, TAw acc=  0.0% | lr: 0.0300
| Epoch   2, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=1.782, TAw acc=  0.0% | lr: 0.0300
| Epoch   3, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.361, TAw acc=  0.0% | lr: 0.0300
| Epoch   4, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.456, TAw acc=  0.0% | lr: 0.0300
| Epoch   5, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.455, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=1.998, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.387, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=1.428, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.631, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time= 10.0s | Train: skip eval | Valid: time=  0.3s loss=1.981, TAw acc=  0.0% | lr: 0.0300
| Epoch  11, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.539, TAw acc=  0.0% | lr: 0.0300
| Epoch  12, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.899, TAw acc=  0.0% | lr: 0.0300
| Epoch  13, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=2.044, TAw acc=  0.0% | lr: 0.0300
| Epoch  14, time= 10.5s | Train: skip eval | Valid: time=  0.3s loss=1.958, TAw acc=  0.0% | lr: 0.0300
