Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
num params: 465968
[(0, 2), (1, 2), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  19, time=120.7s | Train: skip eval | Valid: time=  1.0s loss=0.394, TAw acc= 81.9% |
| Epoch  20, time=121.3s | Train: skip eval | Valid: time=  1.0s loss=0.467, TAw acc= 77.8% |
| Epoch  21, time=118.8s | Train: skip eval | Valid: time=  1.0s loss=0.361, TAw acc= 84.1% |
| Epoch  22, time=121.0s | Train: skip eval | Valid: time=  1.0s loss=0.389, TAw acc= 81.7% |
| Epoch  23, time=118.4s | Train: skip eval | Valid: time=  1.0s loss=0.425, TAw acc= 78.8% |
| Epoch  24, time=121.1s | Train: skip eval | Valid: time=  1.0s loss=0.365, TAw acc= 82.9% |
| Epoch  25, time=121.7s | Train: skip eval | Valid: time=  1.0s loss=0.381, TAw acc= 81.2% |
| Epoch  26, time=120.2s | Train: skip eval | Valid: time=  1.0s loss=0.344, TAw acc= 84.0% | *
| Epoch  27, time=121.6s | Train: skip eval | Valid: time=  1.0s loss=0.352, TAw acc= 84.2% |
| Epoch  28, time=121.0s | Train: skip eval | Valid: time=  1.0s loss=0.371, TAw acc= 82.5% |
| Epoch  29, time=119.1s | Train: skip eval | Valid: time=  1.0s loss=0.347, TAw acc= 84.0% |
| Epoch  30, time=120.9s | Train: skip eval | Valid: time=  1.0s loss=0.378, TAw acc= 82.9% |
| Epoch  31, time=121.4s | Train: skip eval | Valid: time=  1.0s loss=0.349, TAw acc= 84.4% |
| Epoch  32, time=121.6s | Train: skip eval | Valid: time=  1.0s loss=0.390, TAw acc= 81.5% |
| Epoch  33, time=121.1s | Train: skip eval | Valid: time=  1.0s loss=0.336, TAw acc= 85.4% | *
| Epoch  34, time=122.2s | Train: skip eval | Valid: time=  1.0s loss=0.376, TAw acc= 82.2% |
| Epoch  35, time=121.9s | Train: skip eval | Valid: time=  1.0s loss=0.457, TAw acc= 77.2% |
| Epoch  36, time=122.1s | Train: skip eval | Valid: time=  1.0s loss=0.392, TAw acc= 80.8% |
| Epoch  37, time=121.3s | Train: skip eval | Valid: time=  1.0s loss=0.389, TAw acc= 80.6% |
| Epoch  38, time=120.0s | Train: skip eval | Valid: time=  1.0s loss=0.378, TAw acc= 81.8% |
| Epoch  39, time=121.5s | Train: skip eval | Valid: time=  1.0s loss=0.352, TAw acc= 84.0% |
| Epoch  40, time=121.1s | Train: skip eval | Valid: time=  1.0s loss=0.329, TAw acc= 85.3% | *
| Epoch  41, time=121.5s | Train: skip eval | Valid: time=  1.0s loss=0.339, TAw acc= 84.0% |
| Epoch  42, time=120.8s | Train: skip eval | Valid: time=  1.0s loss=0.336, TAw acc= 84.8% |
| Epoch  43, time=120.7s | Train: skip eval | Valid: time=  1.0s loss=0.345, TAw acc= 83.6% |
| Epoch  44, time=120.7s | Train: skip eval | Valid: time=  1.0s loss=0.330, TAw acc= 85.7% |
| Epoch  45, time=101.8s | Train: skip eval | Valid: time=  0.8s loss=0.335, TAw acc= 85.3% |
| Epoch  46, time= 99.4s | Train: skip eval | Valid: time=  0.8s loss=0.323, TAw acc= 85.7% | *
| Epoch  47, time=104.5s | Train: skip eval | Valid: time=  1.0s loss=0.408, TAw acc= 80.2% |
| Epoch  48, time=119.8s | Train: skip eval | Valid: time=  1.0s loss=0.459, TAw acc= 78.2% |
| Epoch  49, time=119.6s | Train: skip eval | Valid: time=  1.0s loss=0.389, TAw acc= 81.0% |
| Epoch  50, time=121.8s | Train: skip eval | Valid: time=  1.0s loss=0.350, TAw acc= 84.0% |
| Epoch  51, time=120.0s | Train: skip eval | Valid: time=  1.0s loss=0.348, TAw acc= 84.1% |
| Epoch  52, time=120.2s | Train: skip eval | Valid: time=  0.8s loss=0.329, TAw acc= 85.1% |
| Epoch  53, time=121.6s | Train: skip eval | Valid: time=  1.0s loss=0.353, TAw acc= 83.4% |
| Epoch  54, time=121.0s | Train: skip eval | Valid: time=  1.0s loss=0.370, TAw acc= 82.5% |
| Epoch  55, time=121.1s | Train: skip eval | Valid: time=  1.0s loss=0.382, TAw acc= 82.3% |
| Epoch  56, time=121.1s | Train: skip eval | Valid: time=  0.7s loss=0.326, TAw acc= 85.4% |
| Epoch  57, time=119.2s | Train: skip eval | Valid: time=  0.8s loss=0.369, TAw acc= 82.7% |
| Epoch  58, time=118.2s | Train: skip eval | Valid: time=  0.8s loss=0.320, TAw acc= 86.1% | *
| Epoch  59, time=120.4s | Train: skip eval | Valid: time=  1.0s loss=0.327, TAw acc= 85.2% |
| Epoch  60, time=119.4s | Train: skip eval | Valid: time=  1.0s loss=0.334, TAw acc= 85.0% |
| Epoch  61, time=111.5s | Train: skip eval | Valid: time=  0.8s loss=0.331, TAw acc= 84.9% |
| Epoch  62, time= 95.4s | Train: skip eval | Valid: time=  0.8s loss=0.328, TAw acc= 85.0% |
| Epoch  63, time= 97.3s | Train: skip eval | Valid: time=  0.8s loss=0.370, TAw acc= 82.5% |
| Epoch  64, time= 98.9s | Train: skip eval | Valid: time=  0.8s loss=0.372, TAw acc= 82.6% |
| Epoch  65, time= 97.8s | Train: skip eval | Valid: time=  0.8s loss=0.329, TAw acc= 84.8% |
| Epoch  66, time= 98.0s | Train: skip eval | Valid: time=  0.8s loss=0.348, TAw acc= 83.9% |
