Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  12, time= 12.8s | Train: skip eval | Valid: time=  0.2s loss=1.519, TAw acc=  0.0% | *
| Epoch  13, time= 14.0s | Train: skip eval | Valid: time=  0.2s loss=2.578, TAw acc=  0.0% |
| Epoch  14, time= 13.9s | Train: skip eval | Valid: time=  0.2s loss=1.983, TAw acc=  0.0% |
| Epoch  15, time= 14.2s | Train: skip eval | Valid: time=  0.2s loss=1.974, TAw acc=  0.0% |
| Epoch  16, time= 13.6s | Train: skip eval | Valid: time=  0.2s loss=1.693, TAw acc=  0.0% |
| Epoch  17, time= 13.5s | Train: skip eval | Valid: time=  0.1s loss=1.663, TAw acc=  0.0% |
| Epoch  18, time= 13.2s | Train: skip eval | Valid: time=  0.2s loss=1.721, TAw acc=  0.0% |
| Epoch  19, time= 12.8s | Train: skip eval | Valid: time=  0.2s loss=1.451, TAw acc=  0.0% | *
| Epoch  20, time= 12.4s | Train: skip eval | Valid: time=  0.2s loss=2.031, TAw acc=  0.0% |
| Epoch  21, time= 12.6s | Train: skip eval | Valid: time=  0.2s loss=1.610, TAw acc=  0.0% |
| Epoch  22, time= 12.7s | Train: skip eval | Valid: time=  0.2s loss=1.601, TAw acc=  0.0% |
| Epoch  23, time= 14.3s | Train: skip eval | Valid: time=  0.2s loss=1.703, TAw acc=  0.0% |
| Epoch  24, time= 13.3s | Train: skip eval | Valid: time=  0.2s loss=1.966, TAw acc=  0.0% |
| Epoch  25, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.458, TAw acc=  0.0% |
| Epoch  26, time= 12.7s | Train: skip eval | Valid: time=  0.1s loss=1.528, TAw acc=  0.0% |
| Epoch  27, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.389, TAw acc=  0.0% | *
| Epoch  28, time= 12.2s | Train: skip eval | Valid: time=  0.2s loss=1.327, TAw acc=  0.0% | *
| Epoch  29, time= 14.0s | Train: skip eval | Valid: time=  0.2s loss=1.575, TAw acc=  0.0% |
| Epoch  30, time= 14.3s | Train: skip eval | Valid: time=  0.2s loss=1.770, TAw acc=  0.0% |
| Epoch  31, time= 12.7s | Train: skip eval | Valid: time=  0.2s loss=1.743, TAw acc=  0.0% |
| Epoch  32, time= 13.2s | Train: skip eval | Valid: time=  0.1s loss=1.586, TAw acc=  0.0% |
| Epoch  33, time= 11.4s | Train: skip eval | Valid: time=  0.2s loss=1.211, TAw acc=  0.0% | *
| Epoch  34, time= 14.0s | Train: skip eval | Valid: time=  0.2s loss=1.359, TAw acc=  0.0% |
| Epoch  35, time= 13.5s | Train: skip eval | Valid: time=  0.2s loss=1.425, TAw acc=  0.0% |
| Epoch  36, time= 11.5s | Train: skip eval | Valid: time=  0.2s loss=1.348, TAw acc=  0.0% |
| Epoch  37, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.443, TAw acc=  0.0% |
| Epoch  38, time= 12.2s | Train: skip eval | Valid: time=  0.2s loss=1.502, TAw acc=  0.0% |
| Epoch  39, time= 14.2s | Train: skip eval | Valid: time=  0.2s loss=1.429, TAw acc=  0.0% |
| Epoch  40, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.487, TAw acc=  0.0% |
| Epoch  41, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.188, TAw acc=  0.0% | *
